loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
Y,935096,12,D,47,Own,12151172,28
Y,101389,12,C,49,Rent,2065546,52
Y,456200,14,D,41,Rent,4801979,28
Y,633781,7,C,16,Rent,2663490,44
Y,252788,7,B,14,Own,13242201,39
Y,578143,12,B,22,Rent,5347547,50
Y,456177,7,A,6,Mortgage,8921765,37
Y,931087,12,C,47,Mortgage,10440929,60
Y,739463,10,D,46,Rent,736234,59
Y,168582,11,A,15,Rent,11551827,55
Y,545450,12,C,20,Own,7557774,55
Y,732927,10,A,29,Rent,11667906,45
Y,26050,10,A,23,Own,7305259,51
Y,551729,12,A,29,Rent,14177129,59
Y,591829,11,D,31,Rent,4383134,65
Y,17230,8,B,28,Mortgage,11013418,44
Y,737352,11,B,47,Mortgage,1617322,58
Y,381583,10,A,35,Mortgage,12402841,55
Y,66721,12,C,19,Rent,8098632,58
Y,281824,14,B,39,Mortgage,9586581,53
Y,939427,11,B,22,Own,8739515,57
Y,576683,13,B,19,Mortgage,12696944,45
Y,593398,8,D,19,Mortgage,2306073,31
Y,318750,11,A,18,Own,512912,40
Y,494748,7,C,38,Own,8205887,55
Y,135634,7,C,19,Own,9673840,30
Y,557468,7,A,12,Mortgage,6926667,52
Y,609106,7,D,35,Own,8594827,25
Y,734551,9,C,17,Rent,12771243,53
Y,587211,13,D,55,Own,510770,57
Y,93867,13,B,51,Own,5033065,60
Y,650130,13,A,7,Rent,5464825,50
Y,654009,10,A,39,Own,14714525,29
Y,51646,9,A,26,Rent,4656630,42
Y,395217,12,B,18,Own,14537720,32
Y,345634,12,A,43,Own,9159890,47
Y,424861,12,A,27,Own,9315487,53
Y,265759,11,C,49,Mortgage,7466038,47
Y,333088,13,B,42,Rent,12602369,26
Y,320199,9,B,6,Own,13162308,52
Y,841329,9,A,48,Rent,3585590,31
Y,560553,7,D,27,Rent,7856577,52
Y,829141,8,C,32,Own,2419517,63
Y,603376,14,C,50,Rent,9833378,31
Y,868757,10,C,34,Mortgage,9583754,56
Y,580831,12,D,16,Rent,1640049,49
Y,639619,9,A,32,Mortgage,6984596,64
Y,406162,11,A,23,Rent,7984084,47
Y,349662,11,B,50,Own,11416023,27
Y,819302,9,D,25,Rent,6735462,59
Y,273663,9,A,39,Rent,8368781,61
Y,211881,7,A,19,Mortgage,3813579,59
Y,204191,11,C,55,Rent,5941694,48
Y,921254,13,D,37,Mortgage,3460269,61
Y,208080,11,C,50,Rent,10480354,33
Y,221265,8,A,51,Mortgage,10044553,40
Y,169709,7,A,43,Own,5775048,37
Y,847863,8,B,54,Mortgage,3279620,61
Y,446279,14,A,29,Own,7197132,25
Y,148634,8,D,24,Rent,9266686,38
Y,79112,10,A,55,Own,5479067,36
Y,81352,9,A,37,Mortgage,570267,26
Y,819114,8,A,19,Rent,6841755,61
Y,734617,14,C,47,Own,11597871,34
Y,545979,7,C,52,Own,6034125,25
Y,768330,13,B,38,Own,4862659,34
Y,687403,8,B,19,Own,175116,55
Y,873793,12,B,8,Mortgage,4539454,32
Y,660843,7,C,23,Mortgage,8202992,51
Y,727284,9,D,42,Rent,5117856,32
Y,163317,8,A,47,Mortgage,10197320,39
Y,496367,12,B,48,Rent,9635900,54
Y,45892,9,C,37,Own,12719201,47
Y,82970,11,A,11,Mortgage,2096950,56
Y,117182,14,B,32,Mortgage,885565,38
Y,129394,10,A,52,Rent,12769766,41
Y,539410,9,C,36,Mortgage,11408875,56
Y,418082,8,A,10,Mortgage,3052973,54
Y,362947,8,A,12,Own,13092947,62
Y,565254,13,C,32,Rent,7520191,45
Y,672652,11,B,38,Own,220136,61
Y,205403,7,D,25,Own,4058030,26
Y,294707,14,B,40,Mortgage,4183892,30
Y,365652,7,B,11,Own,1318803,46
Y,185081,14,A,25,Rent,7177272,33
Y,610524,8,D,55,Rent,8559412,26
Y,69464,13,D,20,Mortgage,2872612,59
Y,642925,9,A,48,Mortgage,7447631,32
Y,640182,12,A,47,Rent,8867812,62
Y,201350,10,A,45,Rent,9177925,53
Y,842060,12,C,48,Rent,1491919,29
Y,259610,7,C,40,Mortgage,3178496,62
Y,550875,14,B,45,Own,14300881,41
Y,256804,13,B,34,Own,3888642,51
Y,25617,14,D,32,Own,13434098,49
Y,772790,12,A,55,Own,7702016,40
Y,944680,14,B,16,Mortgage,9665859,49
Y,692108,9,C,10,Own,12544504,39
Y,593321,12,A,45,Mortgage,3116763,25
Y,161880,8,D,9,Own,13907876,25
Y,680381,8,B,39,Rent,6624438,36
Y,810310,11,D,40,Mortgage,5999691,29
Y,247352,12,C,6,Mortgage,14498499,25
Y,331413,7,C,18,Own,7458847,28
Y,494418,10,B,33,Own,4603118,43
Y,505879,7,C,17,Rent,1342364,37
Y,938775,14,A,16,Rent,10801688,38
Y,497279,10,D,34,Own,2335472,57
Y,195688,12,D,32,Mortgage,612653,62
Y,567649,7,A,50,Mortgage,1074754,43
Y,762781,8,A,35,Rent,6727569,27
Y,405797,12,C,13,Rent,7965591,53
Y,242193,13,C,22,Mortgage,5232665,32
Y,537370,11,D,31,Rent,5610619,55
Y,391944,7,D,41,Own,13558047,42
Y,851263,7,A,46,Own,10269098,27
Y,795028,12,D,24,Own,6379364,34
Y,763457,8,D,46,Own,631179,49
Y,151109,12,B,24,Rent,9568135,59
Y,169083,8,B,36,Mortgage,4262380,59
Y,127259,10,D,52,Own,1312333,63
Y,29629,12,D,29,Mortgage,8611272,25
Y,112729,7,D,47,Own,3226766,42
Y,214826,8,C,20,Rent,11592031,62
Y,229573,13,C,33,Rent,7631321,61
Y,908181,9,B,16,Mortgage,4743465,50
Y,455062,7,C,24,Rent,11714531,44
Y,582676,13,C,30,Mortgage,3007563,48
Y,182466,10,A,25,Mortgage,2931767,58
Y,201035,12,B,18,Rent,4274223,26
Y,190549,9,D,23,Mortgage,11727696,25
Y,668617,11,C,45,Mortgage,8328438,29
Y,405347,9,D,15,Rent,3890100,54
Y,200881,9,A,34,Mortgage,4862328,54
Y,792724,14,C,47,Mortgage,1261277,37
Y,847675,8,B,21,Mortgage,10323020,42
Y,727168,8,D,21,Mortgage,1360703,49
Y,706303,8,D,50,Rent,1961932,50
Y,433211,11,B,31,Own,3213710,31
Y,864818,9,B,30,Own,7165136,45
Y,18188,12,B,43,Rent,2248644,60
Y,86084,14,B,28,Mortgage,14461831,32
Y,725464,14,C,37,Rent,2266246,35
Y,108792,7,A,33,Rent,4296900,38
Y,668560,10,A,33,Rent,6713282,37
Y,906624,9,A,10,Own,4956410,38
Y,301184,11,A,23,Rent,7738758,54
Y,885387,8,B,15,Own,14326341,50
Y,725257,13,A,41,Mortgage,7794216,46
Y,142187,14,D,37,Own,5524256,35
Y,596943,13,D,19,Rent,4944206,43
Y,184211,13,D,15,Own,10185650,57
Y,881005,14,B,13,Mortgage,14228654,59
Y,356976,8,D,37,Rent,6574523,51
Y,944886,10,B,29,Mortgage,9492984,46
Y,176481,10,B,41,Rent,2960428,50
Y,218919,11,A,44,Own,3276563,58
Y,588023,12,A,23,Mortgage,4877022,64
Y,328331,7,A,29,Own,5039937,51
Y,89026,13,B,34,Rent,11905485,59
Y,692777,11,A,41,Mortgage,4909162,58
Y,182712,7,D,14,Mortgage,5589727,60
Y,684588,7,B,42,Mortgage,14722794,63
Y,857942,10,D,36,Rent,14151185,57
Y,106239,7,D,30,Own,9118162,48
Y,107354,12,B,25,Own,9353126,26
Y,575622,12,C,47,Own,8427918,40
Y,754999,9,A,27,Mortgage,7832207,58
Y,905729,9,D,30,Mortgage,9833228,54
Y,64387,7,C,51,Own,11737304,31
Y,146137,11,D,35,Mortgage,7941743,48
Y,239238,8,D,46,Own,7499373,26
Y,729515,12,D,49,Mortgage,11933700,33
Y,317523,7,A,8,Rent,10425627,60
Y,178965,11,D,25,Own,2284139,38
Y,843755,14,A,35,Own,6204360,33
Y,154766,14,D,9,Own,11085024,25
Y,630213,7,C,35,Rent,1290780,33
Y,922193,7,A,28,Own,12720797,49
Y,696234,14,D,11,Rent,9604679,47
Y,75343,7,C,53,Own,8831642,36
Y,911864,12,B,5,Own,12321317,48
Y,776826,7,C,36,Rent,8458207,50
Y,441981,9,B,25,Rent,3878840,38
Y,313373,8,A,23,Rent,9544332,36
Y,467534,8,B,25,Mortgage,4365193,52
Y,244841,9,B,26,Rent,12528787,50
Y,94583,14,B,33,Mortgage,1595974,46
Y,664511,8,A,12,Own,14486569,54
Y,138369,13,D,38,Mortgage,12970535,27
Y,938857,8,B,55,Own,7165070,50
Y,204689,12,C,52,Own,11397802,60
Y,345002,9,D,11,Own,6031220,37
Y,127149,11,C,50,Rent,10860916,54
Y,78784,7,B,16,Own,167629,57
Y,479416,12,D,33,Own,8782539,65
Y,134128,12,A,6,Mortgage,13610369,58
Y,625997,8,A,46,Mortgage,7528357,47
Y,265796,7,B,44,Rent,7458227,40
Y,843676,11,C,25,Own,5365169,50
Y,775781,10,C,45,Mortgage,11527741,37
Y,902555,14,C,5,Mortgage,10692165,44
Y,139250,10,D,5,Own,13890446,28
Y,712038,9,D,24,Own,10203844,28
Y,905538,10,C,10,Mortgage,9603246,63
Y,172857,14,B,18,Rent,6447599,26
Y,529148,13,D,40,Own,11470216,42
Y,577781,7,D,26,Own,14775830,38
Y,839379,7,D,12,Rent,1729472,25
Y,423406,10,A,15,Mortgage,1523698,49
Y,904193,7,D,33,Mortgage,1172012,25
Y,50417,11,A,50,Rent,14228885,31
Y,122080,9,D,22,Rent,5515969,29
Y,316392,10,C,31,Rent,12285812,64
Y,215054,7,B,11,Mortgage,9693159,27
Y,573714,12,D,47,Rent,3290860,45
Y,423029,9,D,42,Rent,2529394,56
Y,448884,9,A,27,Rent,4363016,36
Y,99111,12,C,29,Own,2673021,54
Y,674312,7,B,10,Rent,6152205,35
Y,683310,9,A,17,Mortgage,4861285,33
Y,28736,11,A,22,Own,12987505,59
Y,830098,10,A,31,Own,5755474,63
Y,809800,7,B,51,Own,1754310,51
Y,282318,13,D,27,Rent,13683103,28
Y,465693,12,A,13,Mortgage,9899668,50
Y,489427,12,D,40,Mortgage,11286980,43
Y,144413,8,B,55,Rent,11419117,31
Y,406844,11,B,52,Own,12909130,27
Y,301535,14,D,30,Mortgage,14405251,49
Y,417249,14,D,26,Rent,8836214,27
Y,345103,7,C,32,Rent,4502924,42
Y,686323,9,D,35,Mortgage,2947240,61
Y,490183,11,B,6,Mortgage,5487085,52
Y,329133,7,A,48,Mortgage,1140771,47
Y,666395,13,D,37,Mortgage,9050792,64
Y,820763,14,B,47,Mortgage,3677837,62
Y,466781,10,A,21,Own,10481512,60
Y,793892,13,D,32,Own,7261180,37
Y,425085,10,B,14,Rent,14289288,31
Y,864023,11,A,44,Rent,6814616,40
Y,853111,10,C,42,Own,3325722,50
Y,284981,11,B,50,Own,2795986,52
Y,676579,13,C,22,Own,13759839,36
Y,375848,10,A,33,Mortgage,11087581,57
Y,387146,9,B,47,Rent,13204391,29
Y,554215,8,C,40,Mortgage,1712669,39
Y,577600,10,D,16,Mortgage,6892216,39
Y,69067,8,B,40,Rent,12140155,54
Y,846429,12,B,13,Rent,1655858,45
Y,177161,9,C,17,Rent,1854097,51
Y,534514,9,D,39,Own,215067,40
Y,260483,9,B,40,Own,3548585,42
Y,882742,14,D,5,Own,558504,33
Y,513933,7,D,25,Own,9449773,52
Y,777991,13,B,32,Own,9694651,34
Y,380086,13,C,42,Own,11159642,37
Y,596752,9,D,32,Mortgage,3659597,33
Y,236296,7,D,45,Rent,13377335,50
Y,702492,14,C,13,Own,11134875,38
Y,411299,9,D,53,Mortgage,3428144,52
Y,922147,8,D,47,Rent,2779906,35
Y,876166,9,A,45,Rent,8120855,54
Y,210867,8,D,12,Mortgage,7581514,36
Y,495351,11,A,20,Own,4830040,42
Y,727657,14,A,52,Own,4923013,63
Y,673332,13,D,27,Own,13049898,57
Y,386668,13,C,25,Rent,6122046,53
Y,301372,8,D,9,Own,127467,60
Y,200449,11,C,26,Own,13815163,48
Y,320106,9,D,7,Mortgage,3412596,28
Y,537248,7,B,8,Rent,13569604,45
Y,778339,10,B,35,Own,1748867,26
Y,870462,12,A,32,Rent,13047498,52
Y,615755,9,D,17,Own,2432292,38
Y,903922,14,D,10,Rent,6866650,62
Y,472561,12,C,22,Mortgage,4247221,65
Y,308110,11,B,55,Rent,11395244,45
Y,547706,10,A,45,Mortgage,12282163,26
Y,735555,7,B,8,Mortgage,6032932,44
Y,527397,13,B,18,Rent,11817802,55
Y,789821,14,B,54,Mortgage,3682873,42
Y,569741,12,D,23,Own,2222413,26
Y,748853,12,D,5,Own,13615502,25
Y,684653,7,A,39,Rent,8058381,29
N,169509,7,A,55,Mortgage,3629033,38
N,844254,10,D,40,Rent,4146838,38
N,101417,10,B,52,Rent,13599069,26
N,539206,8,A,29,Mortgage,12937791,48
N,257132,10,D,29,Own,11121428,45
N,386076,10,D,49,Own,12868643,38
N,414016,10,B,28,Mortgage,194574,45
N,340734,14,A,18,Own,13728641,38
N,136439,7,C,51,Rent,3707007,26
N,287428,13,C,10,Rent,12844211,53
N,824907,13,C,10,Rent,10177136,53
N,936219,11,A,53,Own,560706,45
N,287040,8,B,23,Rent,1366695,52
N,38922,13,D,15,Rent,11354856,62
N,60573,12,A,54,Mortgage,4449149,61
N,462471,11,D,22,Own,2214250,41
N,274716,9,C,44,Rent,9815266,43
N,16698,12,C,7,Rent,6377667,40
N,44663,11,B,8,Mortgage,4609601,34
N,869006,8,B,52,Mortgage,7477527,44
N,905248,10,B,35,Own,1742012,63
N,60929,14,B,50,Mortgage,14887037,51
N,431450,13,A,18,Own,7089119,32
N,601517,7,C,31,Mortgage,1809438,46
N,457033,12,D,55,Rent,3321653,48
N,362025,13,D,38,Rent,8089537,33
N,257449,8,D,25,Mortgage,13408727,38
N,795440,9,A,11,Mortgage,11918626,64
N,783232,13,B,55,Own,14674516,32
N,804898,10,C,41,Own,5095631,51
N,26442,9,D,11,Mortgage,5639679,44
N,442011,10,D,41,Mortgage,2235960,26
N,908728,14,D,32,Rent,12103406,29
N,762862,7,A,13,Mortgage,10577700,52
N,448668,13,B,9,Own,4472273,52
N,457729,12,B,24,Own,12596191,31
N,890633,7,D,32,Mortgage,1745967,48
N,939685,11,A,23,Rent,5855600,58
N,163729,8,B,49,Own,9437610,64
N,228384,14,A,33,Rent,11118895,33
N,455481,13,D,50,Rent,4130713,33
N,500403,9,D,38,Own,1723906,46
N,908656,8,C,49,Rent,5318198,60
N,590149,7,D,46,Own,4177871,64
N,686480,12,D,13,Rent,772220,56
N,136159,7,A,50,Mortgage,3479226,43
N,507138,10,A,48,Own,14228187,60
N,668856,7,B,34,Own,487888,45
N,26978,9,B,46,Own,10672236,45
N,845775,9,B,54,Own,1546990,35
N,632055,11,A,49,Rent,3990329,34
N,891765,13,A,20,Mortgage,11150416,26
N,147901,14,D,26,Rent,12893762,45
N,407843,9,D,46,Rent,2280276,59
N,133474,13,C,37,Mortgage,9123064,39
N,786520,13,D,52,Mortgage,5224905,45
N,517566,13,A,52,Mortgage,3683649,40
N,399017,11,A,13,Own,6141982,32
N,458673,13,D,27,Mortgage,14935858,54
N,612152,9,A,34,Rent,293582,38
N,874246,8,C,32,Rent,14658379,46
N,402749,10,D,22,Rent,11596612,28
N,165880,14,B,50,Rent,11294354,54
N,579893,11,D,21,Rent,8508649,48
N,749850,7,A,9,Mortgage,2858937,38
N,395653,13,D,48,Rent,11572220,42
N,478098,13,C,47,Mortgage,8371533,63
N,831051,11,D,19,Mortgage,12913456,56
N,469110,12,A,33,Mortgage,12408184,58
N,513158,9,B,38,Own,6638236,39
N,637977,11,A,40,Mortgage,9819284,42
N,459628,13,B,22,Own,3551593,48
N,756371,9,B,17,Mortgage,10293498,38
N,387839,14,B,38,Own,10530486,42
N,397326,9,A,18,Rent,9877969,47
N,818955,8,A,19,Own,11488997,29
N,656592,9,D,44,Mortgage,13418768,51
N,457904,8,D,18,Mortgage,5780649,57
N,411374,12,C,36,Rent,8005266,40
N,322849,11,A,39,Rent,13278778,59
N,225996,9,B,25,Mortgage,9498236,62
N,765512,10,A,20,Rent,3503073,25
N,463085,14,D,26,Rent,3114940,49
N,75752,12,D,27,Mortgage,3350844,44
N,797188,9,A,17,Mortgage,5186569,63
N,218659,12,C,32,Own,1058616,42
N,45524,12,D,45,Mortgage,12843936,29
N,697275,14,B,54,Own,7816621,64
N,363985,11,A,47,Rent,6453613,36
N,132536,14,B,35,Mortgage,3587535,32
N,157390,9,D,19,Rent,8512086,28
N,580047,14,D,37,Own,432292,25
N,603011,13,C,38,Rent,14909499,57
N,891600,14,A,21,Mortgage,13075925,29
N,289375,11,C,15,Own,14352840,27
N,274285,13,C,24,Mortgage,10921684,47
N,172437,7,A,53,Mortgage,10412401,31
N,302014,12,A,17,Mortgage,10496835,51
N,659863,8,D,54,Mortgage,13580871,28
N,853005,12,C,33,Mortgage,4927593,62
N,251431,9,D,18,Mortgage,13895658,61
N,843650,11,D,27,Own,511146,52
N,919309,11,B,53,Own,11950010,25
N,153255,9,B,13,Own,7664005,42
N,157177,13,A,19,Rent,7291507,54
N,618432,9,C,22,Mortgage,5330833,43
N,467053,14,D,5,Mortgage,12738119,46
N,320263,9,C,32,Rent,7838447,31
N,817668,9,A,23,Own,10896757,39
N,394274,10,A,6,Mortgage,7271659,34
N,911736,14,B,23,Mortgage,10517313,32
N,300763,12,D,19,Mortgage,12625536,44
N,715807,12,D,12,Mortgage,4413779,41
N,789872,13,D,55,Rent,5018798,32
N,948312,10,D,38,Mortgage,12177770,42
N,81886,11,C,26,Mortgage,13354543,60
N,425017,10,C,23,Own,9811047,27
N,365887,8,B,20,Own,10586013,35
N,744594,10,B,36,Mortgage,5782866,40
N,394119,9,C,51,Mortgage,5665626,36
N,212341,8,C,23,Mortgage,13974033,55
N,340948,9,D,46,Rent,7903141,29
N,473706,9,D,55,Own,6422316,37
N,924049,12,A,30,Mortgage,1945418,48
N,816928,12,D,6,Mortgage,13066675,46
N,900290,14,A,14,Own,5139783,58
N,92671,12,B,13,Rent,10953182,32
N,314015,12,A,15,Own,4071704,42
N,587459,8,C,38,Own,5368429,25
N,34424,14,B,54,Mortgage,2705603,52
N,267229,9,C,31,Own,993689,30
N,939179,11,B,29,Mortgage,8388508,26
N,738481,13,D,14,Rent,10928933,44
N,735748,14,B,8,Mortgage,11170271,52
N,81511,11,A,45,Own,11754021,29
N,776992,13,A,21,Rent,11046808,55
N,464201,13,A,34,Rent,13465352,41
N,903432,11,C,31,Mortgage,4201484,49
N,322780,10,D,28,Rent,12723747,29
N,191981,13,B,36,Mortgage,9459929,62
N,459036,12,C,49,Mortgage,7335979,61
N,349719,7,D,6,Own,4201973,26
N,907175,11,C,40,Own,5145107,29
N,542448,8,D,15,Rent,4903199,35
N,64673,7,B,8,Rent,12330020,52
N,506192,7,B,27,Own,6078697,52
N,169854,13,A,29,Own,4087803,49
N,469522,11,C,51,Rent,7695417,29
N,362003,7,A,40,Rent,13987245,33
N,608236,8,B,44,Rent,7540712,61
N,649569,9,C,26,Mortgage,11951127,30
N,21269,12,B,35,Rent,8702229,29
N,190716,12,B,14,Rent,900361,62
N,375204,12,C,9,Own,7880841,26
N,790202,9,A,25,Rent,9378066,50
N,448556,8,B,7,Rent,2480134,26
N,771599,11,D,38,Own,10959556,49
N,84306,13,B,40,Rent,10745163,27
N,40678,12,A,5,Own,2374486,42
N,245875,9,C,7,Own,12581070,51
N,116512,12,D,16,Rent,14826734,59
N,34514,13,A,5,Rent,6275437,61
N,134839,11,C,39,Mortgage,7481391,42
N,154133,9,C,16,Rent,3826420,59
N,309867,10,D,50,Rent,10569148,64
N,629337,9,B,40,Mortgage,11520828,29
N,130333,13,C,9,Own,1601056,54
N,688083,12,B,51,Rent,8214525,39
N,914816,13,B,41,Rent,8595663,56
N,686624,12,D,42,Rent,9246538,42
N,937708,14,C,9,Rent,4036977,56
N,601715,13,C,35,Rent,10178899,56
N,458204,12,A,26,Own,3998574,52
N,105881,14,B,28,Rent,8355857,41
N,419547,8,A,43,Own,441564,52
N,686315,13,A,14,Own,8682146,61
N,254545,10,D,38,Rent,5144089,34
N,833392,14,D,46,Mortgage,10568970,64
N,770405,7,C,30,Mortgage,2304346,62
N,438673,11,B,22,Own,3444689,62
N,381757,14,D,25,Own,13730577,31
N,785137,13,C,32,Rent,12874834,31
N,850471,9,D,21,Mortgage,4874450,40
N,31132,13,C,15,Own,12709657,30
N,707060,12,A,43,Own,9959819,53
N,415216,7,D,30,Mortgage,1473547,48
N,715875,11,C,39,Own,11111130,44
N,870710,12,B,27,Mortgage,6174724,42
N,718904,8,A,44,Rent,9380305,55
N,210555,9,C,9,Mortgage,11659281,40
N,414398,12,C,18,Mortgage,3368923,61
N,641959,9,D,48,Own,10322669,49
N,833395,13,C,31,Rent,3123426,50
N,700002,9,B,52,Mortgage,9314823,32
N,491140,7,C,45,Own,4055513,57
N,416620,10,A,35,Mortgage,2743748,53
N,726512,8,B,30,Rent,6561834,49
N,489696,11,B,16,Rent,8948862,53
N,37038,8,A,5,Mortgage,12730388,35
N,230577,11,B,46,Own,8885413,62
N,112717,9,C,27,Own,5986281,45
N,545143,14,A,10,Mortgage,4040242,65
N,152835,8,B,18,Rent,13481419,55
N,858449,12,B,6,Rent,5603782,47
N,170180,7,B,53,Mortgage,5056502,57
N,742825,10,D,7,Rent,4838396,45
N,362380,12,A,37,Own,14544594,46
N,920080,10,B,14,Own,8817671,52
N,406677,10,C,38,Mortgage,5107346,62
N,372662,12,C,13,Own,14099805,31
N,374515,9,A,15,Own,9103685,25
N,598763,14,C,53,Mortgage,9506345,60
N,144621,12,B,29,Rent,7843637,61
N,142208,14,D,32,Own,12753977,59
N,297585,14,C,6,Rent,4970255,43
N,853530,11,B,42,Rent,10701789,26
N,509802,14,B,20,Own,1979019,61
N,432065,7,D,7,Mortgage,14232436,48
N,908422,14,A,7,Rent,6716961,59
N,279404,9,D,23,Own,5554300,30
N,163423,11,A,51,Mortgage,12255417,27
N,561662,10,B,21,Own,3136778,41
N,248931,14,D,19,Rent,4095722,42
N,762900,13,B,35,Rent,13421121,32
N,812687,9,B,52,Own,3417201,65
N,475497,8,C,9,Mortgage,4722657,34
N,129686,11,B,17,Rent,7222132,32
N,518083,7,B,5,Rent,8342311,42
N,243662,12,B,44,Own,14416137,48
N,945935,11,B,44,Own,9130716,30
N,888682,9,D,49,Rent,3637448,28
N,800316,13,D,7,Rent,4794365,33
N,808314,8,A,10,Rent,11431600,31
N,35889,10,B,23,Mortgage,11684170,56
N,760850,14,B,24,Rent,4630683,30
N,595430,10,C,5,Own,4851125,33
N,504767,7,C,36,Mortgage,10536047,52
N,102451,7,A,24,Mortgage,5105469,45
N,731046,8,D,42,Mortgage,11843573,35
N,340490,7,B,30,Mortgage,14517558,46
N,328421,11,D,6,Mortgage,6197341,43
N,886081,12,B,6,Mortgage,2334903,50
N,896923,11,D,33,Own,2223718,46
N,450857,11,D,38,Mortgage,14559168,42
N,250656,8,C,45,Mortgage,4647531,27
N,690138,12,C,25,Mortgage,14884659,54
N,325373,9,C,52,Rent,870893,61
N,433292,13,C,34,Mortgage,10413136,37
N,227680,12,A,55,Mortgage,3861860,34
N,789078,14,B,27,Mortgage,9357363,61
N,312684,13,C,11,Own,5405064,55
N,909547,10,B,12,Rent,3005334,60
N,752668,8,C,23,Rent,3053841,39
N,10056,9,A,38,Own,8086808,55
N,531408,8,C,42,Rent,12346039,29
N,301845,10,B,39,Mortgage,7482581,52
N,167026,10,D,26,Rent,14567817,25
N,403656,7,A,25,Mortgage,2314013,65
N,32159,8,C,22,Mortgage,10219127,56
N,766920,7,D,16,Mortgage,689402,59
N,349677,11,B,27,Own,4173618,50
N,949186,11,C,41,Mortgage,14143177,25
N,909073,7,C,16,Own,11341656,64
N,660467,12,B,5,Rent,11409880,32
N,579329,8,B,55,Own,5445757,53
N,949341,14,D,12,Own,1307332,50
N,518255,9,B,47,Rent,9033726,54
N,708440,14,A,25,Rent,6752592,28
N,460368,7,A,33,Mortgage,12853619,59
N,442423,13,A,10,Mortgage,7647654,35
N,821430,14,A,8,Mortgage,13887069,48
N,377034,9,D,16,Own,1874666,25
N,207983,11,C,16,Mortgage,14697603,34
N,299602,13,D,19,Own,5920184,44
N,247457,14,C,41,Mortgage,6333217,48
N,574502,7,A,47,Rent,8582155,36
N,575214,10,A,8,Own,3657690,59
N,612869,12,B,36,Own,4894704,36
N,646822,14,B,18,Mortgage,3789462,49
N,802140,11,A,7,Mortgage,13364385,57
N,592680,12,B,51,Rent,9356381,37
N,253096,10,B,43,Mortgage,6295784,65
N,890256,14,C,46,Mortgage,6514979,36
N,71788,10,B,20,Mortgage,10349454,61
N,40549,9,C,48,Rent,11669567,48
N,455047,14,A,41,Mortgage,12691768,55
N,676373,12,A,11,Mortgage,7073709,57
N,231459,14,B,36,Own,6391000,29
N,133419,12,A,53,Own,13988327,63
N,79688,7,D,49,Own,4113186,60
N,62091,13,A,37,Mortgage,14903803,31
N,77130,8,A,35,Mortgage,9452890,65
N,866806,7,A,44,Rent,478754,62
N,826855,11,C,38,Own,10710948,31
N,501156,9,A,47,Mortgage,3816550,40
N,306914,9,C,49,Rent,4055323,49
N,338633,11,D,17,Own,5920800,28
N,498671,13,D,18,Mortgage,10661499,37
N,835654,13,B,15,Own,3183923,33
N,670570,11,D,54,Mortgage,9492183,28
N,115643,12,D,51,Own,13001920,55
N,117027,11,C,15,Mortgage,14120519,56
N,292251,7,B,49,Own,373521,42
N,52639,9,A,11,Mortgage,6622116,28
N,378801,13,D,23,Rent,10540114,40
N,400385,14,D,27,Own,10230421,36
N,116399,7,C,24,Mortgage,3793996,39
N,829750,11,B,31,Rent,11630317,55
N,397255,14,D,54,Mortgage,13838113,53
N,143186,9,C,44,Own,11434337,53
N,366942,12,B,33,Mortgage,5153024,28
N,484080,10,A,29,Own,10212583,54
N,293081,8,D,49,Own,7616181,26
N,84774,13,D,29,Mortgage,13196667,41
N,753965,12,B,45,Rent,6327473,31
N,175820,7,B,23,Mortgage,2851600,40
N,312428,8,A,7,Rent,14761061,60
N,915431,10,D,47,Mortgage,7376329,63
N,175158,7,D,45,Rent,9275733,62
N,399425,8,B,16,Rent,3367100,27
N,15275,9,A,23,Mortgage,7192738,39
N,398723,11,A,22,Own,9137616,31
N,387018,10,D,53,Mortgage,2979682,38
N,605823,11,C,29,Mortgage,7504059,45
N,457497,8,B,8,Mortgage,6291264,29
N,150098,7,A,48,Own,3262116,31
N,404602,7,A,17,Rent,3212177,27
N,31095,8,B,33,Rent,12575880,29
N,930461,8,A,30,Mortgage,7155659,63
N,54487,11,B,12,Mortgage,12657371,48
N,583536,10,D,34,Rent,1800754,37
N,559788,7,C,39,Own,6997181,36
N,783905,11,A,6,Mortgage,12062983,35
N,107306,8,A,26,Own,3227697,26
N,208119,10,B,11,Own,8713010,59
N,469253,7,B,18,Own,5396675,53
N,526528,13,B,18,Rent,696385,54
N,561467,12,D,45,Rent,13504883,47
N,297428,8,D,22,Mortgage,10275594,55
N,27693,10,A,48,Own,13343476,30
N,553384,13,D,13,Own,13193224,54
N,724860,11,B,19,Own,7863955,56
N,517856,14,C,47,Own,14766767,54
N,580874,9,D,32,Own,12056086,51
N,53366,13,D,13,Mortgage,8719316,54
N,780746,11,A,27,Own,9819667,62
N,195621,9,A,34,Own,8898874,30
N,683255,8,D,11,Mortgage,1167318,40
N,711369,10,D,38,Rent,13460749,31
N,654662,7,D,29,Mortgage,4100788,27
N,675070,13,A,38,Mortgage,10110823,44
N,52712,9,B,39,Rent,3168112,54
N,292649,13,D,49,Own,2771561,39
N,882543,8,B,30,Rent,10037757,27
N,406298,10,A,38,Rent,8857116,42
N,523856,8,B,47,Own,5518891,32
